HGNC ID	Approved symbol	Ensembl gene ID	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
HGNC:4830	HBE1	ENSG00000213931	ENSG00000213931	3046
HGNC:3059	HBEGF	ENSG00000113070	ENSG00000113070	1839
HGNC:4831	HBG1	ENSG00000213934	ENSG00000213934	3047
HGNC:4832	HBG2	ENSG00000196565	ENSG00000196565	3048
HGNC:4826	HBM	ENSG00000206177	ENSG00000206177	3042
HGNC:23200	HBP1	ENSG00000105856	ENSG00000105856	26959
HGNC:4833	HBQ1	ENSG00000086506	ENSG00000086506	3049
HGNC:4834	HBS1L	ENSG00000112339	ENSG00000112339	10767
HGNC:4835	HBZ	ENSG00000130656	ENSG00000130656	3050
HGNC:4836	HBZP1	ENSG00000206178	ENSG00000206178	3051
HGNC:4532	HCAR1	ENSG00000196917	ENSG00000196917	27198
HGNC:24827	HCAR2	ENSG00000182782	ENSG00000182782	338442
HGNC:16824	HCAR3	ENSG00000255398	ENSG00000255398	8843
HGNC:48612	HCCAT5	ENSG00000260880	ENSG00000260880	283902
HGNC:4837	HCCS	ENSG00000004961	ENSG00000004961	3052
HGNC:14224	HCF2			
HGNC:4839	HCFC1	ENSG00000172534	ENSG00000172534	3054
HGNC:40273	HCFC1-AS1	ENSG00000235802	ENSG00000235802	100873990
HGNC:21198	HCFC1R1	ENSG00000103145	ENSG00000103145	54985
HGNC:24972	HCFC2	ENSG00000111727	ENSG00000111727	29915
HGNC:39815	HCFC2P1	ENSG00000232087	ENSG00000232087	100419149
HGNC:17900	HCG2P1			
HGNC:30786	HCG2P2			
HGNC:29015	HCG2P4			
HGNC:23413	HCG2P6			
HGNC:19242	HCG2P7			
HGNC:19243	HCG2P8			
HGNC:21241	HCG4	ENSG00000176998	ENSG00000176998	54435
HGNC:22919	HCG4B	ENSG00000227262	ENSG00000227262	80868
HGNC:30978	HCG4P1			387503
HGNC:30979	HCG4P2			387504
HGNC:22922	HCG4P3			353001
HGNC:22924	HCG4P4			353002
HGNC:22925	HCG4P5			353003
HGNC:22926	HCG4P7			353004
HGNC:22927	HCG4P8	ENSG00000229142	ENSG00000229142	353005
HGNC:22928	HCG4P9			353014
HGNC:22929	HCG4P10			
HGNC:22930	HCG4P11			353020
HGNC:21242	HCG8			
HGNC:21243	HCG9	ENSG00000204625	ENSG00000204625	10255
HGNC:30980	HCG9P1			387505
HGNC:30981	HCG9P2			387506
HGNC:30982	HCG9P3			387507
HGNC:30983	HCG9P5			353019
HGNC:17707	HCG11	ENSG00000228223	ENSG00000228223	493812
HGNC:31344	HCG12			
HGNC:17724	HCG13P			493813
HGNC:18323	HCG14	ENSG00000224157	ENSG00000224157	414760
HGNC:18361	HCG15	ENSG00000227214	ENSG00000227214	414761
HGNC:20424	HCG16			
HGNC:31339	HCG17	ENSG00000270604	ENSG00000270604	414778
HGNC:31337	HCG18	ENSG00000231074	ENSG00000231074	414777
HGNC:31336	HCG19P			414776
HGNC:31334	HCG20	ENSG00000228022	ENSG00000228022	105375013
HGNC:31335	HCG21	ENSG00000233529	ENSG00000233529	102723346
HGNC:27780	HCG22	ENSG00000228789	ENSG00000228789	285834
HGNC:19713	HCG23			414764
HGNC:23500	HCG24	ENSG00000230313	ENSG00000230313	414768
HGNC:20196	HCG25	ENSG00000232940	ENSG00000232940	414765
HGNC:29671	HCG26			352961
HGNC:27366	HCG27	ENSG00000206344	ENSG00000206344	253018
HGNC:18645	HCHOLA3			
HGNC:18573	HCHOLA4			
HGNC:4840	HCK	ENSG00000101336	ENSG00000101336	3055
HGNC:4841	HCL1			
HGNC:4842	HCL2			
HGNC:4843	HCL3			
HGNC:4844	HCLS1	ENSG00000180353	ENSG00000180353	3059
HGNC:4845	HCN1	ENSG00000164588	ENSG00000164588	348980
HGNC:4846	HCN2	ENSG00000099822	ENSG00000099822	610
HGNC:19183	HCN3	ENSG00000143630	ENSG00000143630	57657
HGNC:16882	HCN4	ENSG00000138622	ENSG00000138622	10021
HGNC:21659	HCP5	ENSG00000206337	ENSG00000206337	10866
HGNC:30984	HCP5B			352990
HGNC:21662	HCP5P2			
HGNC:23084	HCP5P3			
HGNC:21660	HCP5P6			
HGNC:30985	HCP5P8			
HGNC:21671	HCP5P12			
HGNC:30977	HCP5P13			
HGNC:30976	HCP5P14			
HGNC:21670	HCP5P15			
HGNC:4847	HCRT	ENSG00000161610	ENSG00000161610	3060
HGNC:4848	HCRTR1	ENSG00000121764	ENSG00000121764	3061
HGNC:4849	HCRTR2	ENSG00000137252	ENSG00000137252	3062
HGNC:16977	HCST	ENSG00000126264	ENSG00000126264	10870
HGNC:4850	HCVS			
HGNC:4852	HDAC1	ENSG00000116478	ENSG00000116478	3065
HGNC:45190	HDAC1P1	ENSG00000234724	ENSG00000234724	100419595
HGNC:45191	HDAC1P2	ENSG00000233012	ENSG00000233012	100419489
HGNC:4853	HDAC2	ENSG00000196591	ENSG00000196591	3066
HGNC:43590	HDAC2-AS2	ENSG00000228624	ENSG00000228624	101927768
HGNC:4854	HDAC3	ENSG00000171720	ENSG00000171720	8841
HGNC:14063	HDAC4	ENSG00000068024	ENSG00000068024	9759
HGNC:54064	HDAC4-AS1	ENSG00000222020	ENSG00000222020	101928111
HGNC:14068	HDAC5	ENSG00000108840	ENSG00000108840	10014
HGNC:14064	HDAC6	ENSG00000094631	ENSG00000094631	10013
HGNC:14067	HDAC7	ENSG00000061273	ENSG00000061273	51564
HGNC:13315	HDAC8	ENSG00000147099	ENSG00000147099	55869
HGNC:14065	HDAC9	ENSG00000048052	ENSG00000048052	9734
HGNC:40664	HDAC9-AS1	ENSG00000226522	ENSG00000226522	105375176
HGNC:18128	HDAC10	ENSG00000100429	ENSG00000100429	83933
HGNC:19086	HDAC11	ENSG00000163517	ENSG00000163517	79885
HGNC:40868	HDAC11-AS1	ENSG00000244502	ENSG00000244502	100874101
HGNC:4855	HDC	ENSG00000140287	ENSG00000140287	3067
HGNC:21078	HDDC2	ENSG00000111906	ENSG00000111906	51020
HGNC:30522	HDDC3	ENSG00000184508	ENSG00000184508	374659
HGNC:4856	HDGF	ENSG00000143321	ENSG00000143321	3068
HGNC:21095	HDGFL1	ENSG00000112273	ENSG00000112273	154150
HGNC:14680	HDGFL2	ENSG00000167674	ENSG00000167674	84717
HGNC:24937	HDGFL3	ENSG00000166503	ENSG00000166503	50810
HGNC:54965	HDGFL3P1	ENSG00000234466		117751742
HGNC:31836	HDGFP1	ENSG00000227183	ENSG00000227183	474167
HGNC:25364	HDHD2	ENSG00000167220	ENSG00000167220	84064
HGNC:28171	HDHD3	ENSG00000119431	ENSG00000119431	81932
HGNC:1843	HDHD5	ENSG00000069998	ENSG00000069998	27440
HGNC:1842	HDHD5-AS1	ENSG00000185837	ENSG00000185837	100130717
HGNC:4857	HDLBP	ENSG00000115677	ENSG00000115677	3069
HGNC:30996	HDLCQ1			
HGNC:4858	HDLDT1			
HGNC:26411	HDX	ENSG00000165259	ENSG00000165259	139324
HGNC:25517	HEATR1	ENSG00000119285	ENSG00000119285	55127
HGNC:26087	HEATR3	ENSG00000155393	ENSG00000155393	55027
HGNC:16761	HEATR4	ENSG00000187105	ENSG00000187105	399671
HGNC:20276	HEATR5A	ENSG00000129493	ENSG00000129493	25938
HGNC:29273	HEATR5B	ENSG00000008869	ENSG00000008869	54497
HGNC:24076	HEATR6	ENSG00000068097	ENSG00000068097	63897
HGNC:26548	HEATR9	ENSG00000270379	ENSG00000270379	256957
HGNC:17176	HEBP1	ENSG00000013583	ENSG00000013583	50865
HGNC:15716	HEBP2	ENSG00000051620	ENSG00000051620	23593
HGNC:54784	HEBP2P1	ENSG00000235548	ENSG00000235548	100128759
HGNC:21041	HECA	ENSG00000112406	ENSG00000112406	51696
HGNC:20157	HECTD1	ENSG00000092148	ENSG00000092148	25831
HGNC:26736	HECTD2	ENSG00000165338	ENSG00000165338	143279
HGNC:48679	HECTD2-AS1			100188947
HGNC:26117	HECTD3	ENSG00000126107	ENSG00000126107	79654
HGNC:26611	HECTD4	ENSG00000173064	ENSG00000173064	283450
HGNC:22195	HECW1	ENSG00000002746	ENSG00000002746	23072
HGNC:41465	HECW1-IT1	ENSG00000181211	ENSG00000181211	100127950
HGNC:29853	HECW2	ENSG00000138411	ENSG00000138411	57520
HGNC:54062	HECW2-AS1	ENSG00000229056	ENSG00000229056	101927482
HGNC:29227	HEG1	ENSG00000173706	ENSG00000173706	57493
HGNC:4859	HEGFL			
HGNC:45049	HEIH	ENSG00000278970	ENSG00000278970	100859930
HGNC:17196	HELB	ENSG00000127311	ENSG00000127311	92797
HGNC:4860	HELIGL1			
HGNC:43984	HELLPAR	ENSG00000281344	ENSG00000281344	101101692
HGNC:4861	HELLS	ENSG00000119969	ENSG00000119969	3070
HGNC:18536	HELQ	ENSG00000163312	ENSG00000163312	113510
HGNC:33783	HELT	ENSG00000187821	ENSG00000187821	391723
HGNC:16878	HELZ	ENSG00000198265	ENSG00000198265	9931
HGNC:30021	HELZ2	ENSG00000130589	ENSG00000130589	85441
HGNC:17509	HEMGN	ENSG00000136929	ENSG00000136929	55363
HGNC:24923	HEMK1	ENSG00000114735	ENSG00000114735	51409
HGNC:4863	HEN1			
HGNC:4864	HEN2			
HGNC:26400	HENMT1	ENSG00000162639	ENSG00000162639	113802
HGNC:4865	HEP10			
HGNC:26361	HEPACAM	ENSG00000165478	ENSG00000165478	220296
HGNC:27364	HEPACAM2	ENSG00000188175	ENSG00000188175	253012
HGNC:4866	HEPH	ENSG00000089472	ENSG00000089472	9843
HGNC:30477	HEPHL1	ENSG00000181333	ENSG00000181333	341208
HGNC:34400	HEPN1	ENSG00000221932	ENSG00000221932	641654
HGNC:4867	HERC1	ENSG00000103657	ENSG00000103657	8925
HGNC:4868	HERC2	ENSG00000128731	ENSG00000128731	8924
HGNC:4869	HERC2P1	ENSG00000261401		8917
HGNC:4870	HERC2P2	ENSG00000276550	ENSG00000276550	400322
HGNC:4871	HERC2P3	ENSG00000180229	ENSG00000180229	283755
HGNC:4872	HERC2P4	ENSG00000230267	ENSG00000230267	100289574
HGNC:4873	HERC2P5	ENSG00000260644	ENSG00000260644	388254
HGNC:4874	HERC2P6	ENSG00000261418		8918
HGNC:4875	HERC2P7	ENSG00000281909	ENSG00000281909	100132101
HGNC:38747	HERC2P8	ENSG00000261599	ENSG00000261599	440366
HGNC:30495	HERC2P9	ENSG00000206149	ENSG00000206149	440248
HGNC:39056	HERC2P10	ENSG00000259845	ENSG00000259845	390561
HGNC:49882	HERC2P11	ENSG00000261581	ENSG00000261581	100996738
HGNC:4876	HERC3	ENSG00000138641	ENSG00000138641	8916
HGNC:24521	HERC4	ENSG00000148634	ENSG00000148634	26091
HGNC:24368	HERC5	ENSG00000138646	ENSG00000138646	51191
HGNC:26072	HERC6	ENSG00000138642	ENSG00000138642	55008
HGNC:13744	HERPUD1	ENSG00000051108	ENSG00000051108	9709
HGNC:21915	HERPUD2	ENSG00000122557	ENSG00000122557	64224
HGNC:5192	HES1	ENSG00000114315	ENSG00000114315	3280
HGNC:16005	HES2	ENSG00000069812	ENSG00000069812	54626
HGNC:26226	HES3	ENSG00000173673	ENSG00000173673	390992
HGNC:24149	HES4	ENSG00000188290	ENSG00000188290	57801
HGNC:19764	HES5	ENSG00000197921	ENSG00000197921	388585
HGNC:18254	HES6	ENSG00000144485	ENSG00000144485	55502
HGNC:15977	HES7	ENSG00000179111	ENSG00000179111	84667
HGNC:4877	HESX1	ENSG00000163666	ENSG00000163666	8820
HGNC:4878	HEXA	ENSG00000213614	ENSG00000213614	3073
HGNC:25810	HEXA-AS1	ENSG00000260339	ENSG00000260339	80072
HGNC:4879	HEXB	ENSG00000049860	ENSG00000049860	3074
HGNC:26307	HEXD	ENSG00000169660	ENSG00000169660	284004
HGNC:43650	HEXD-IT1	ENSG00000279066	ENSG00000279066	100505970
HGNC:24953	HEXIM1	ENSG00000186834	ENSG00000186834	10614
HGNC:28591	HEXIM2	ENSG00000168517	ENSG00000168517	124790
HGNC:4880	HEY1	ENSG00000164683	ENSG00000164683	23462
HGNC:4881	HEY2	ENSG00000135547	ENSG00000135547	23493
HGNC:4882	HEYL	ENSG00000163909	ENSG00000163909	26508
HGNC:4884	HF2			
HGNC:4885	HFC1			
HGNC:4886	HFE	ENSG00000010704	ENSG00000010704	3077
HGNC:55168	HFE-AS1			108783645
HGNC:20193	HFM1	ENSG00000162669	ENSG00000162669	164045
HGNC:4891	HFSP			
HGNC:4892	HGD	ENSG00000113924	ENSG00000113924	3081
HGNC:4893	HGF	ENSG00000019991	ENSG00000019991	3082
HGNC:4894	HGFAC	ENSG00000109758	ENSG00000109758	3083
HGNC:4895	HGFL			
HGNC:24161	HGH1	ENSG00000235173	ENSG00000235173	51236
HGNC:4896	HGL			
HGNC:20666	HGPPS			
HGNC:4897	HGS	ENSG00000185359	ENSG00000185359	9146
HGNC:26527	HGSNAT	ENSG00000165102	ENSG00000165102	138050
HGNC:18270	HHAT	ENSG00000054392	ENSG00000054392	55733
HGNC:13242	HHATL	ENSG00000010282	ENSG00000010282	57467
HGNC:42439	HHATL-AS1	ENSG00000230970	ENSG00000230970	100874044
HGNC:4898	HHC1			
HGNC:4899	HHC2			
HGNC:4900	HHC3			
HGNC:4901	HHEX	ENSG00000152804	ENSG00000152804	3087
HGNC:4902	HHG			
HGNC:4903	HHH			
HGNC:14866	HHIP	ENSG00000164161	ENSG00000164161	64399
HGNC:44182	HHIP-AS1	ENSG00000248890	ENSG00000248890	646576
HGNC:19710	HHIPL1	ENSG00000182218	ENSG00000182218	84439
HGNC:25842	HHIPL2	ENSG00000143512	ENSG00000143512	79802
HGNC:4904	HHLA1	ENSG00000132297	ENSG00000132297	10086
HGNC:4905	HHLA2	ENSG00000114455	ENSG00000114455	11148
